No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
117,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J042701.85-490729.0</a>",66.757875,-49.124611,G,19758.121737,0.065906,PUN,4,,36,6,1,12,,,,1,
118,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 236-IG 022 NED02</a>",323.835833,-49.935806,G,16608.502173,0.055400,SUN,5,,17,4,3,7,,,,3,1
119,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 288-IG 029 NED01</a>",330.168292,-42.818528,G,,,,4,,40,6,,10,,,,3,
120,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 350-IG 008 NED01</a>",4.653792,-35.938333,G,3917.088256,0.013066,SLS,7,,35,4,2,10,1,,,3,1
121,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 467-IG 056 NED01</a>",336.357792,-27.701389,G,15259.436112,0.050900,SUN,9,,39,9,5,10,,,1,3,1
122,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 467-IG 056 NED02</a>",336.365583,-27.702444,G,27886.394651,0.093019,PUN,4,,39,6,1,10,,,,1,
123,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 546-IG 007 NED01</a>",40.460208,-20.812222,G,7784.111172,0.025965,SUN,4,,13,4,2,7,,,,3,
124,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCC 129</a>",334.703926,-24.197902,GClstr,11691.905862,0.039000,SUN,8,,,1,1,,,,,,
125,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCC 155</a>",338.050786,-25.422677,GClstr,10492.736030,0.035000,SUN,11,,,2,2,,,,,,
126,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MFGC 07913</a>",153.243208,17.030806,G,6759.804285,0.022548,SLS,14,,49,11,4,6,,,,1,
127,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J134722.37-302145.5</a>",206.843120,-30.362525,G,,,,5,,38,5,,,,,,,
128,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J131439.42+214832.4</a>",198.664209,21.809043,G,18824.606996,0.062792,SLS,18,,47,9,3,4,,,,,
129,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133541.58+803039.4</a>",203.923471,80.510944,G,15049.581512,0.050200,SUN,4,,31,5,3,2,1,,,1,
130,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J133543.92+803017.8</a>",203.933042,80.505000,G,15079.560158,0.050300,SUN,3,,29,5,3,2,1,,,1,
