_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
164.8655833,4.4446111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 95,10 59 27.74,+04 26 40.6,0.062221,4,3,1,1,0.686,,,Simbad,95
165.2894583,16.7451944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 96,11 01 09.47,+16 44 42.7,0.028677,4,3,1,1,1.303,,,Simbad,96
167.52375,-1.01125,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 97,11 10 05.70,-01 00 40.5,0.109176,4,3,2,2,0.834,,,Simbad,97
168.001,29.4170278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 98,11 12 00.24,+29 25 01.3,0.033857,4,4,3,1,1.241,,,Simbad,98
168.433625,39.3359167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 99,11 13 44.07,+39 20 09.3,0.07595,4,4,3,1,0.935,,,Simbad,99
169.5151667,30.5349722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=100,11 18 03.64,+30 32 05.9,0.060382,4,4,3,1,1.106,,,Simbad,100
169.9204167,-6.509,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=101,11 19 40.90,-06 30 32.4,0.06271,4,4,1,1,0.9,,,Simbad,101
170.5192083,42.8034722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=102,11 22 04.61,+42 48 12.5,0.071656,4,3,2,2,0.994,,,Simbad,102
170.6806667,46.8744167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=103,11 22 43.36,+46 52 27.9,0.053545,4,4,3,3,0.936,76.99,138.7,Simbad,103
171.9639167,-0.4691111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=104,11 27 51.34,-00 28 08.8,0.062177,4,3,3,3,1.089,81.53,175.76,Simbad,104
172.9442083,15.4056111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=105,11 31 46.61,+15 24 20.2,0.068909,4,4,3,3,0.823,94.13,21.54,Simbad,105
173.856125,54.9633889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=106,11 35 25.47,+54 57 48.2,0.055501,4,4,3,2,1.045,,,Simbad,106
174.1665417,21.6947222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=107,11 36 39.97,+21 41 41.0,0.062911,4,4,4,3,1.223,63.0,160.14,Simbad,107
174.257125,12.4555833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=108,11 37 01.71,+12 27 20.1,0.117987,4,4,2,2,0.557,,,Simbad,108
174.7291667,3.5858056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=109,11 38 55.00,+03 35 08.9,0.018672,4,3,2,2,0.634,,,Simbad,109
178.3621667,58.1245278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=110,11 53 26.92,+58 07 28.3,0.065903,4,3,3,3,0.948,97.85,335.58,Simbad,110
178.4711667,51.037,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=111,11 53 53.08,+51 02 13.2,0.078598,4,4,3,1,1.351,,,Simbad,111
179.06975,25.3738333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=112,11 56 16.74,+25 22 25.8,0.015781,4,3,2,1,1.176,,,Simbad,112
179.1885,22.5009167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=113,11 56 45.24,+22 30 03.3,0.08939,4,4,1,1,0.367,,,Simbad,113
182.5339583,44.6643056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=114,12 10 08.15,+44 39 51.5,0.022862,4,4,4,1,1.178,,,Simbad,114
